               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089614,            0.061774,            0.071262,             0.23558,             0.12241,            0.041031,            0.016305,            0.067153,            0.042136,            0.061121,              0.0702,           0.0033111,           0.0033111
                   1,             0.06781,            0.056054,             0.05509,             0.74111,            0.094771,            0.067678,              0.0247,            0.066514,            0.039002,            0.049035,            0.040134,           0.0065787,           0.0065787
                   2,            0.064237,            0.051867,            0.047374,             0.78359,             0.13197,             0.11516,             0.05096,             0.05339,               0.039,            0.042691,            0.010002,           0.0097802,           0.0097802
                   3,            0.058079,            0.054015,            0.041485,             0.80694,              0.1597,             0.15441,            0.070589,            0.049399,             0.03963,            0.037551,            0.009703,            0.009703,            0.009703
                   4,            0.052934,            0.051831,            0.037412,             0.84718,             0.14017,             0.15931,            0.077084,            0.047792,            0.040368,             0.03643,            0.009703,            0.009703,            0.009703
                   5,            0.050858,            0.051603,            0.034978,             0.89709,             0.15826,             0.19162,             0.09143,            0.046468,            0.038792,            0.031835,            0.009604,            0.009604,            0.009604
                   6,            0.049319,            0.052161,            0.033766,             0.84324,             0.16971,             0.19983,             0.10589,            0.044359,            0.039449,            0.031664,            0.009505,            0.009505,            0.009505
                   7,            0.047761,            0.053303,            0.031833,             0.83153,             0.19351,             0.21946,             0.11772,            0.042397,            0.039009,            0.031149,            0.009406,            0.009406,            0.009406
                   8,            0.046951,             0.05313,            0.031036,             0.66006,             0.23032,              0.2225,             0.11561,            0.043279,            0.039396,             0.02924,            0.009307,            0.009307,            0.009307
                   9,            0.046474,            0.051838,            0.030531,             0.70109,              0.2429,             0.23524,             0.13224,            0.040705,            0.038056,            0.029414,            0.009208,            0.009208,            0.009208
                  10,            0.045046,            0.050506,            0.029407,             0.71523,             0.24435,             0.24657,             0.13511,            0.040745,            0.037945,            0.027177,            0.009109,            0.009109,            0.009109
                  11,            0.045446,            0.052407,            0.028525,              0.7116,             0.24575,              0.2509,              0.1398,            0.040433,             0.03833,            0.027052,             0.00901,             0.00901,             0.00901
